,crime_type,Latitude,Longitude,Location,Month
4219,Bicycle theft,52.024514,-0.7350899999999999,On or near Pedestrian Subway,2018-08
4326,Bicycle theft,52.016740000000006,-0.793686,On or near Chalkdell Drive,2018-08
4449,Bicycle theft,52.025667999999996,-0.7616569999999999,On or near Shopping Area,2018-08
4450,Bicycle theft,52.028975,-0.762324,On or near Pedestrian Subway,2018-08
4688,Bicycle theft,52.009171,-0.7305689999999999,On or near Pedestrian Subway,2018-08
4884,Bicycle theft,52.007827,-0.752898,On or near Sutherland Grove,2018-08
4988,Bicycle theft,51.995622999999995,-0.761088,On or near Thames Close,2018-08
5143,Bicycle theft,51.979915999999996,-0.726591,On or near Fern Grove,2018-08
5263,Bicycle theft,51.77903,-1.265973,On or near Shopping Area,2018-08
5279,Bicycle theft,51.786082,-1.266438,On or near Cavendish Road,2018-08
5280,Bicycle theft,51.786082,-1.266438,On or near Cavendish Road,2018-08
5281,Bicycle theft,51.786335,-1.263723,On or near Bodley Place,2018-08
5309,Bicycle theft,51.768954,-1.269339,On or near Hayfield Road,2018-08
5310,Bicycle theft,51.773041,-1.273012,On or near Complins Close,2018-08
5313,Bicycle theft,51.766940000000005,-1.2635610000000002,On or near Further/Higher Educational Building,2018-08
5318,Bicycle theft,51.770672999999995,-1.2300799999999998,On or near Dents Close,2018-08
5344,Bicycle theft,51.768966,-1.203285,On or near Atkinson Close,2018-08
5345,Bicycle theft,51.767449,-1.195805,On or near Supermarket,2018-08
5401,Bicycle theft,51.759698,-1.211634,On or near Supermarket,2018-08
5414,Bicycle theft,51.754523,-1.2121879999999998,On or near Nursery Close,2018-08
5415,Bicycle theft,51.75703,-1.216056,On or near The Brambles,2018-08
5421,Bicycle theft,51.764452,-1.212566,On or near St Andrew'S Road,2018-08
5478,Bicycle theft,51.759288,-1.205411,On or near Wharton Road,2018-08
5526,Bicycle theft,51.755758,-1.244199,On or near Further/Higher Educational Building,2018-08
5527,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-08
5528,Bicycle theft,51.752956,-1.2587760000000001,On or near Nightclub,2018-08
5529,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-08
5530,Bicycle theft,51.751332,-1.259454,On or near Shopping Area,2018-08
5531,Bicycle theft,51.754695,-1.259442,On or near Nightclub,2018-08
5532,Bicycle theft,51.752852000000004,-1.2681360000000002,On or near Park End Street,2018-08
5533,Bicycle theft,51.751894,-1.255809,On or near Alfred Street,2018-08
5534,Bicycle theft,51.751332,-1.259454,On or near Shopping Area,2018-08
5535,Bicycle theft,51.75666,-1.263032,On or near Further/Higher Educational Building,2018-08
5536,Bicycle theft,51.75065,-1.258234,On or near Pembroke Street,2018-08
5537,Bicycle theft,51.752021,-1.254648,On or near King Edward Street,2018-08
5538,Bicycle theft,51.752852000000004,-1.2681360000000002,On or near Park End Street,2018-08
5539,Bicycle theft,51.752189,-1.2569629999999998,On or near Nightclub,2018-08
5540,Bicycle theft,51.753240999999996,-1.264131,On or near Parking Area,2018-08
5541,Bicycle theft,51.752189,-1.2569629999999998,On or near Nightclub,2018-08
5542,Bicycle theft,51.753308000000004,-1.256206,On or near Turl Street,2018-08
5543,Bicycle theft,51.752189,-1.2569629999999998,On or near Nightclub,2018-08
5544,Bicycle theft,51.751332,-1.259454,On or near Shopping Area,2018-08
5545,Bicycle theft,51.754695,-1.259442,On or near Nightclub,2018-08
5546,Bicycle theft,51.754115999999996,-1.2617260000000001,On or near Parking Area,2018-08
5547,Bicycle theft,51.756518,-1.24491,On or near Park/Open Space,2018-08
5548,Bicycle theft,51.751332,-1.259454,On or near Shopping Area,2018-08
5549,Bicycle theft,51.752852000000004,-1.2681360000000002,On or near Park End Street,2018-08
5550,Bicycle theft,51.753331,-1.2627389999999998,On or near Further/Higher Educational Building,2018-08
5551,Bicycle theft,51.751022999999996,-1.258836,On or near Shopping Area,2018-08
5552,Bicycle theft,51.754695,-1.259442,On or near Nightclub,2018-08
5553,Bicycle theft,51.751557,-1.2608840000000001,On or near Pedestrian Subway,2018-08
5554,Bicycle theft,51.754695,-1.259442,On or near Nightclub,2018-08
5555,Bicycle theft,51.752189,-1.2569629999999998,On or near Nightclub,2018-08
5556,Bicycle theft,51.751557,-1.2608840000000001,On or near Pedestrian Subway,2018-08
5557,Bicycle theft,51.752287,-1.263944,On or near Tidmarsh Lane,2018-08
5558,Bicycle theft,51.753954,-1.260208,On or near Theatre/Concert Hall,2018-08
5559,Bicycle theft,51.756563,-1.246315,On or near Manor Place,2018-08
5560,Bicycle theft,51.756653,-1.26054,On or near Further/Higher Educational Building,2018-08
5561,Bicycle theft,51.751332,-1.259454,On or near Shopping Area,2018-08
5562,Bicycle theft,51.751332,-1.259454,On or near Shopping Area,2018-08
5563,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-08
5564,Bicycle theft,51.752189,-1.2569629999999998,On or near Nightclub,2018-08
5565,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-08
5566,Bicycle theft,51.754695,-1.259442,On or near Nightclub,2018-08
5567,Bicycle theft,51.752189,-1.259773,On or near Shoe Lane,2018-08
5568,Bicycle theft,51.755472999999995,-1.2502739999999999,On or near Jowett Walk,2018-08
5569,Bicycle theft,51.753331,-1.2627389999999998,On or near Further/Higher Educational Building,2018-08
5570,Bicycle theft,51.754327,-1.259564,On or near Supermarket,2018-08
5571,Bicycle theft,51.754621,-1.259096,On or near Magdalen Street,2018-08
5572,Bicycle theft,51.754695,-1.259442,On or near Nightclub,2018-08
5573,Bicycle theft,51.752189,-1.2569629999999998,On or near Nightclub,2018-08
5816,Bicycle theft,51.751531,-1.253902,On or near Further/Higher Educational Building,2018-08
5817,Bicycle theft,51.750329,-1.262875,On or near Paradise Square,2018-08
5818,Bicycle theft,51.751331,-1.256412,On or near Blue Boar Street,2018-08
5819,Bicycle theft,51.746332,-1.256335,On or near Abingdon Road,2018-08
5820,Bicycle theft,51.751422,-1.266565,On or near Woodbine Place,2018-08
5821,Bicycle theft,51.750941999999995,-1.267384,On or near Osney Lane,2018-08
5822,Bicycle theft,51.750091999999995,-1.2595319999999999,On or near Further/Higher Educational Building,2018-08
5823,Bicycle theft,51.749796999999994,-1.2598559999999999,On or near Turn Again Lane,2018-08
5856,Bicycle theft,51.758788,-1.2611430000000001,On or near Little Clarendon Street,2018-08
5857,Bicycle theft,51.758788,-1.2611430000000001,On or near Little Clarendon Street,2018-08
5858,Bicycle theft,51.762918,-1.260148,On or near Further/Higher Educational Building,2018-08
5859,Bicycle theft,51.762268,-1.271258,On or near Pedestrian Subway,2018-08
5860,Bicycle theft,51.760413,-1.259378,On or near Further/Higher Educational Building,2018-08
5861,Bicycle theft,51.762694,-1.266078,On or near Plantation Road,2018-08
5877,Bicycle theft,51.751768,-1.2803799999999999,On or near Riverside Road,2018-08
5878,Bicycle theft,51.753143,-1.2817049999999999,On or near Prestwich Place,2018-08
5879,Bicycle theft,51.752075,-1.282041,On or near Duke Street,2018-08
5880,Bicycle theft,51.753143,-1.2817049999999999,On or near Prestwich Place,2018-08
5896,Bicycle theft,51.751632,-1.271444,On or near Russell Street,2018-08
5897,Bicycle theft,51.749919,-1.273644,On or near Doyley Road,2018-08
5929,Bicycle theft,51.75734,-1.272569,On or near Venneit Close,2018-08
5937,Bicycle theft,51.751125,-1.2097120000000001,On or near Atwell Place,2018-08
5978,Bicycle theft,51.749970000000005,-1.201098,On or near Wood Farm Road,2018-08
6001,Bicycle theft,51.750257,-1.221098,On or near Sports/Recreation Area,2018-08
6026,Bicycle theft,51.747825,-1.234104,On or near Collins Street,2018-08
6027,Bicycle theft,51.746365999999995,-1.229595,On or near Bartlemas Road,2018-08
6039,Bicycle theft,51.74776,-1.235061,On or near Avenue Lane,2018-08
6040,Bicycle theft,51.749553999999996,-1.23858,On or near Rectory Road,2018-08
6041,Bicycle theft,51.74776,-1.235061,On or near Avenue Lane,2018-08
6042,Bicycle theft,51.751963,-1.237077,On or near Cherwell Street,2018-08
6043,Bicycle theft,51.74776,-1.235061,On or near Avenue Lane,2018-08
6044,Bicycle theft,51.748762,-1.232944,On or near Ablett Close,2018-08
6072,Bicycle theft,51.74922,-1.227374,On or near Stone Street,2018-08
6073,Bicycle theft,51.747276,-1.228436,On or near Warneford Road,2018-08
6074,Bicycle theft,51.747276,-1.227103,On or near Southfield Road,2018-08
6097,Bicycle theft,51.750319,-1.241493,On or near St Clement'S Street,2018-08
6098,Bicycle theft,51.749561,-1.239695,On or near Jeune Street,2018-08
6099,Bicycle theft,51.750605,-1.241257,On or near Caroline Street,2018-08
6100,Bicycle theft,51.749821999999995,-1.2426030000000001,On or near Dawson Street,2018-08
6101,Bicycle theft,51.751236,-1.238784,On or near Theatre/Concert Hall,2018-08
6102,Bicycle theft,51.750351,-1.243753,On or near Nightclub,2018-08
6103,Bicycle theft,51.749561,-1.239695,On or near Jeune Street,2018-08
6126,Bicycle theft,51.74577,-1.23876,On or near Regent Street,2018-08
6133,Bicycle theft,51.744397,-1.229629,On or near Theatre/Concert Hall,2018-08
6134,Bicycle theft,51.742601,-1.234048,On or near Catherine Street,2018-08
6135,Bicycle theft,51.744397,-1.229629,On or near Theatre/Concert Hall,2018-08
6136,Bicycle theft,51.746208,-1.235696,On or near Bramwell Place,2018-08
6137,Bicycle theft,51.741456,-1.236327,On or near Theatre/Concert Hall,2018-08
6138,Bicycle theft,51.741456,-1.236327,On or near Theatre/Concert Hall,2018-08
6172,Bicycle theft,51.746506,-1.238617,On or near James Street,2018-08
6173,Bicycle theft,51.749932,-1.244281,On or near Cowley Place,2018-08
6174,Bicycle theft,51.747132,-1.236709,On or near Crown Street,2018-08
6175,Bicycle theft,51.749932,-1.244281,On or near Cowley Place,2018-08
6176,Bicycle theft,51.749932,-1.244281,On or near Cowley Place,2018-08
6177,Bicycle theft,51.749932,-1.244281,On or near Cowley Place,2018-08
6178,Bicycle theft,51.749932,-1.244281,On or near Cowley Place,2018-08
6179,Bicycle theft,51.747831,-1.240594,On or near Stockmore Street,2018-08
6212,Bicycle theft,51.739388,-1.254609,On or near Summerfield,2018-08
6213,Bicycle theft,51.739502,-1.255447,On or near Lake Street,2018-08
6220,Bicycle theft,51.73212,-1.249806,On or near Bertie Place,2018-08
6221,Bicycle theft,51.73212,-1.249806,On or near Bertie Place,2018-08
6222,Bicycle theft,51.732969,-1.250385,On or near Sports/Recreation Area,2018-08
6223,Bicycle theft,51.734775,-1.246054,On or near Weirs Lane,2018-08
6266,Bicycle theft,51.739603,-1.212983,On or near Leafield Road,2018-08
6276,Bicycle theft,51.747088,-1.223152,On or near Southfield Park,2018-08
6296,Bicycle theft,51.737124,-1.220151,On or near Hendred Street,2018-08
6321,Bicycle theft,51.732951,-1.199994,On or near Pedestrian Subway,2018-08
6329,Bicycle theft,51.738896999999994,-1.2017280000000001,On or near Sports/Recreation Area,2018-08
6336,Bicycle theft,51.747811999999996,-1.20764,On or near Sports/Recreation Area,2018-08
6339,Bicycle theft,51.740165000000005,-1.2368700000000001,On or near Daubeny Road,2018-08
6348,Bicycle theft,51.737673,-1.232509,On or near George Moore Close,2018-08
6349,Bicycle theft,51.737846000000005,-1.238342,On or near Swinburne Road,2018-08
6366,Bicycle theft,51.743773,-1.230349,On or near Whitson Place,2018-08
6367,Bicycle theft,51.743196999999995,-1.229012,On or near Ridgefield Road,2018-08
6368,Bicycle theft,51.743196999999995,-1.229012,On or near Ridgefield Road,2018-08
6369,Bicycle theft,51.743196999999995,-1.229012,On or near Ridgefield Road,2018-08
6391,Bicycle theft,51.733222999999995,-1.2177129999999998,On or near Parking Area,2018-08
6409,Bicycle theft,51.732082,-1.216372,On or near Supermarket,2018-08
6410,Bicycle theft,51.730534999999996,-1.205625,On or near John Smith Drive,2018-08
6411,Bicycle theft,51.732294,-1.21715,On or near Banjo Road,2018-08
6412,Bicycle theft,51.731953000000004,-1.215997,On or near Templars Square Shopping Centre,2018-08
6413,Bicycle theft,51.732574,-1.2080799999999998,On or near Petrol Station,2018-08
6414,Bicycle theft,51.732294,-1.21715,On or near Banjo Road,2018-08
6442,Bicycle theft,51.729723,-1.218715,On or near Littlemore Road,2018-08
6494,Bicycle theft,51.720957,-1.217302,On or near Alice Smith Square,2018-08
6495,Bicycle theft,51.716497,-1.207912,On or near Sports/Recreation Area,2018-08
6496,Bicycle theft,51.720957,-1.217302,On or near Alice Smith Square,2018-08
6514,Bicycle theft,51.719096,-1.226888,On or near Sandford Road,2018-08
6515,Bicycle theft,51.721112,-1.231269,On or near Petrol Station,2018-08
6556,Bicycle theft,51.726042,-1.2154340000000001,On or near Bodley Road,2018-08
6616,Bicycle theft,51.727659,-1.203215,On or near Ambassador Avenue,2018-08
6617,Bicycle theft,51.727659,-1.203215,On or near Ambassador Avenue,2018-08
6618,Bicycle theft,51.724763,-1.199067,On or near Tucker Road,2018-08
6733,Bicycle theft,51.476914,-0.982457,On or near Dellwood Park,2018-08
6738,Bicycle theft,51.474531,-0.986542,On or near Matlock Road,2018-08
6743,Bicycle theft,51.467372999999995,-0.9781629999999999,On or near Buck Side,2018-08
6744,Bicycle theft,51.467019,-0.974701,On or near Supermarket,2018-08
6745,Bicycle theft,51.467019,-0.974701,On or near Supermarket,2018-08
6764,Bicycle theft,51.473769,-0.974406,On or near Hemdean Road,2018-08
6765,Bicycle theft,51.473769,-0.974406,On or near Hemdean Road,2018-08
6773,Bicycle theft,51.472879999999996,-0.9592219999999999,On or near Kildare Gardens,2018-08
6783,Bicycle theft,51.466522,-0.976512,On or near Promenade Road,2018-08
6797,Bicycle theft,51.466322,-0.953785,On or near Amersham Road,2018-08
6806,Bicycle theft,51.46487,-0.962427,On or near Coldicutt Street,2018-08
6821,Bicycle theft,51.468274,-0.968108,On or near Hampden Road,2018-08
6855,Bicycle theft,51.461911,-1.046084,On or near Elmstone Drive,2018-08
6929,Bicycle theft,51.461216,-0.9764440000000001,On or near Northfield Road,2018-08
6930,Bicycle theft,51.464324,-0.9832549999999999,On or near Richfield Avenue,2018-08
7141,Bicycle theft,51.459012,-1.000286,On or near Chester Street,2018-08
7142,Bicycle theft,51.458489,-0.992784,On or near Barnwood Close,2018-08
7190,Bicycle theft,51.455205,-0.99359,On or near Edinburgh Road,2018-08
7226,Bicycle theft,51.455176,-0.991173,On or near Supermarket,2018-08
7242,Bicycle theft,51.451753000000004,-1.0127059999999999,On or near Peg'S Green Close,2018-08
7324,Bicycle theft,51.454756,-1.031034,On or near Sports/Recreation Area,2018-08
7365,Bicycle theft,51.455506,-0.950981,On or near Sun Street,2018-08
7500,Bicycle theft,51.457103000000004,-0.97085,On or near Nightclub,2018-08
7501,Bicycle theft,51.455796,-0.969412,On or near Market Place,2018-08
7502,Bicycle theft,51.454968,-0.9744959999999999,On or near Nightclub,2018-08
7503,Bicycle theft,51.456032,-0.9758110000000001,On or near West Street,2018-08
7504,Bicycle theft,51.459035,-0.971699,On or near Bus/Coach Station,2018-08
7505,Bicycle theft,51.457108000000005,-0.976507,On or near Sackville Street,2018-08
7506,Bicycle theft,51.454968,-0.9744959999999999,On or near Nightclub,2018-08
7507,Bicycle theft,51.455186,-0.971656,On or near Shopping Area,2018-08
7508,Bicycle theft,51.459035,-0.971699,On or near Bus/Coach Station,2018-08
7509,Bicycle theft,51.459035,-0.971699,On or near Bus/Coach Station,2018-08
7510,Bicycle theft,51.455307,-0.9721,On or near Shopping Area,2018-08
7511,Bicycle theft,51.455186,-0.971656,On or near Shopping Area,2018-08
7512,Bicycle theft,51.457971,-0.970356,On or near Forbury Road,2018-08
7513,Bicycle theft,51.457695,-0.975774,On or near Greyfriars Road,2018-08
7514,Bicycle theft,51.460511,-0.9708889999999999,On or near Vastern Road,2018-08
7515,Bicycle theft,51.460511,-0.9708889999999999,On or near Vastern Road,2018-08
7516,Bicycle theft,51.459035,-0.971699,On or near Bus/Coach Station,2018-08
7517,Bicycle theft,51.459035,-0.971699,On or near Bus/Coach Station,2018-08
7518,Bicycle theft,51.461183,-0.9736950000000001,On or near Parking Area,2018-08
7519,Bicycle theft,51.459035,-0.971699,On or near Bus/Coach Station,2018-08
7520,Bicycle theft,51.459035,-0.971699,On or near Bus/Coach Station,2018-08
7521,Bicycle theft,51.455890000000004,-0.977138,On or near Cheapside,2018-08
7522,Bicycle theft,51.456032,-0.9758110000000001,On or near West Street,2018-08
7523,Bicycle theft,51.457316,-0.969521,On or near Valpy Street,2018-08
7524,Bicycle theft,51.454374,-0.975517,On or near Nightclub,2018-08
7525,Bicycle theft,51.455307,-0.9721,On or near Shopping Area,2018-08
7526,Bicycle theft,51.457330999999996,-0.972184,On or near Station Road,2018-08
7681,Bicycle theft,51.460127,-0.955942,On or near Supermarket,2018-08
7714,Bicycle theft,51.454595,-0.967884,On or near Highbridge Wharf,2018-08
7715,Bicycle theft,51.452487,-0.9704790000000001,On or near Mill Lane,2018-08
7716,Bicycle theft,51.453645,-0.971317,On or near Shopping Area,2018-08
7717,Bicycle theft,51.453823,-0.9731120000000001,On or near Nightclub,2018-08
7718,Bicycle theft,51.452678999999996,-0.973972,On or near Simmonds Street,2018-08
7719,Bicycle theft,51.452678999999996,-0.973972,On or near Simmonds Street,2018-08
7754,Bicycle theft,51.455734,-0.9798620000000001,On or near Chatham Place,2018-08
7767,Bicycle theft,51.454813,-0.9763569999999999,On or near Broad Street Mall,2018-08
7826,Bicycle theft,51.448192999999996,-0.9506879999999999,On or near Donnington Gardens,2018-08
7827,Bicycle theft,51.449108,-0.948451,On or near Farringdon Court,2018-08
7836,Bicycle theft,51.446626,-0.946364,On or near Cardigan Gardens,2018-08
7876,Bicycle theft,51.45053,-0.993693,On or near Josephine Court,2018-08
7922,Bicycle theft,51.445789000000005,-0.9654780000000001,On or near Supermarket,2018-08
7923,Bicycle theft,51.441128000000006,-0.966159,On or near Clent Road,2018-08
7942,Bicycle theft,51.448307,-0.966501,On or near Hieatt Close,2018-08
7957,Bicycle theft,51.445757,-0.952802,On or near Avebury Square,2018-08
7980,Bicycle theft,51.451402,-0.9586450000000001,On or near Hospital,2018-08
7981,Bicycle theft,51.451402,-0.9586450000000001,On or near Hospital,2018-08
7982,Bicycle theft,51.451402,-0.9586450000000001,On or near Hospital,2018-08
7983,Bicycle theft,51.451402,-0.9586450000000001,On or near Hospital,2018-08
7984,Bicycle theft,51.451402,-0.9586450000000001,On or near Hospital,2018-08
8066,Bicycle theft,51.442232000000004,-0.948724,On or near Sports/Recreation Area,2018-08
8133,Bicycle theft,51.441247,-0.9704149999999999,On or near Elgar Road South,2018-08
8182,Bicycle theft,51.431146000000005,-0.977259,On or near Lindisfarne Way,2018-08
8183,Bicycle theft,51.431691,-0.9636389999999999,On or near Thurlestone Gardens,2018-08
8184,Bicycle theft,51.435095000000004,-0.971259,On or near Petrol Station,2018-08
8185,Bicycle theft,51.432853,-0.970992,On or near Gillette Way,2018-08
8307,Bicycle theft,51.533583,-0.617744,On or near Farnham Road,2018-08
8412,Bicycle theft,51.523618,-0.615322,On or near Farnham Road,2018-08
8413,Bicycle theft,51.523618,-0.615322,On or near Farnham Road,2018-08
8414,Bicycle theft,51.525421,-0.616492,On or near Supermarket,2018-08
8415,Bicycle theft,51.523618,-0.615322,On or near Farnham Road,2018-08
8507,Bicycle theft,51.527474,-0.625151,On or near Greenside,2018-08
8577,Bicycle theft,51.520497,-0.639876,On or near Brook Path,2018-08
8578,Bicycle theft,51.522853000000005,-0.635208,On or near Deal Avenue,2018-08
8613,Bicycle theft,51.522428999999995,-0.653771,On or near Lowestoft Drive,2018-08
8618,Bicycle theft,51.530012,-0.654038,On or near Windsor Lane,2018-08
8642,Bicycle theft,51.528914,-0.635992,On or near Northmead Road,2018-08
8650,Bicycle theft,51.528721999999995,-0.630376,On or near Pentland Road,2018-08
8651,Bicycle theft,51.527892,-0.630069,On or near Pevensey Road,2018-08
8686,Bicycle theft,51.523321,-0.605413,On or near Chester Road,2018-08
8698,Bicycle theft,51.517245,-0.601088,On or near Carmarthen Road,2018-08
8747,Bicycle theft,51.524844,-0.609518,On or near Gloucester Avenue,2018-08
8795,Bicycle theft,51.532029,-0.57725,On or near Wexham Street,2018-08
8796,Bicycle theft,51.524086,-0.579285,On or near Almons Way,2018-08
8913,Bicycle theft,51.510892,-0.593184,On or near Bus/Coach Station,2018-08
8914,Bicycle theft,51.511558,-0.5902229999999999,On or near Parking Area,2018-08
8915,Bicycle theft,51.510734,-0.590551,On or near Supermarket,2018-08
8964,Bicycle theft,51.509909,-0.579539,On or near India Road,2018-08
8997,Bicycle theft,51.5129,-0.592733,On or near Bus/Coach Station,2018-08
9024,Bicycle theft,51.516945,-0.590345,On or near Stoke Road,2018-08
9043,Bicycle theft,51.518027000000004,-0.5898359999999999,On or near Elliman Avenue,2018-08
9067,Bicycle theft,51.514601,-0.6238819999999999,On or near Shopping Area,2018-08
9102,Bicycle theft,51.512959,-0.615011,On or near Cranbourne Road,2018-08
9120,Bicycle theft,51.511972,-0.639063,On or near Streamside,2018-08
9134,Bicycle theft,51.507591999999995,-0.630447,On or near Supermarket,2018-08
9166,Bicycle theft,51.506503,-0.59767,On or near Parking Area,2018-08
9256,Bicycle theft,51.510197,-0.611074,On or near Harris Gardens,2018-08
9257,Bicycle theft,51.512749,-0.6093970000000001,On or near Windmill Road,2018-08
9275,Bicycle theft,51.510181,-0.606694,On or near Montem Lane,2018-08
9276,Bicycle theft,51.511503999999995,-0.600039,On or near Gatewick Close,2018-08
